origin_time,horizon,threshold,window_type,mainshock_mag,mainshock_time,days_since_mainshock,n_train_events,forecast_probability_etas,forecast_probability_poisson,observed_binary,n_observed_in_horizon
1977-01-24T01:07:10.900000+00:00,7d,5.0,post_mainshock,5.195,1976-12-25T01:07:10.900000+00:00,30,51,nan,0.0,0,0
1977-01-06T14:10:56.500000+00:00,7d,5.0,post_mainshock,5.11,1977-01-05T14:10:56.500000+00:00,1,51,nan,0.0,0,0
1977-01-12T14:10:56.500000+00:00,7d,5.0,post_mainshock,5.11,1977-01-05T14:10:56.500000+00:00,7,51,nan,0.0,0,0
1977-02-04T14:10:56.500000+00:00,7d,5.0,post_mainshock,5.11,1977-01-05T14:10:56.500000+00:00,30,51,nan,0.0,1,1
1977-02-07T16:53:57.800000+00:00,7d,5.0,post_mainshock,5.025,1977-02-06T16:53:57.800000+00:00,1,52,nan,0.0,0,0
1977-02-13T16:53:57.800000+00:00,7d,5.0,post_mainshock,5.025,1977-02-06T16:53:57.800000+00:00,7,52,nan,0.0,0,0
1977-03-08T16:53:57.800000+00:00,7d,5.0,post_mainshock,5.025,1977-02-06T16:53:57.800000+00:00,30,52,nan,0.0,0,0
1977-05-13T12:20:00.700000+00:00,7d,5.0,post_mainshock,5.889,1977-05-12T12:20:00.700000+00:00,1,53,nan,0.0,0,0
1977-05-19T12:20:00.700000+00:00,7d,5.0,post_mainshock,5.889,1977-05-12T12:20:00.700000+00:00,7,53,nan,0.0,0,0
1977-06-11T12:20:00.700000+00:00,7d,5.0,post_mainshock,5.889,1977-05-12T12:20:00.700000+00:00,30,54,nan,0.0,0,0
1977-06-06T19:21:40.500000+00:00,7d,5.0,post_mainshock,5.11,1977-06-05T19:21:40.500000+00:00,1,54,nan,0.0,0,0
1977-06-12T19:21:40.500000+00:00,7d,5.0,post_mainshock,5.11,1977-06-05T19:21:40.500000+00:00,7,54,nan,0.0,0,0
1977-07-05T19:21:40.500000+00:00,7d,5.0,post_mainshock,5.11,1977-06-05T19:21:40.500000+00:00,30,54,nan,0.0,0,0
1977-10-14T11:32:09.300000+00:00,7d,5.0,post_mainshock,5.45,1977-10-13T11:32:09.300000+00:00,1,56,nan,0.0,0,0
1977-10-20T11:32:09.300000+00:00,7d,5.0,post_mainshock,5.45,1977-10-13T11:32:09.300000+00:00,7,56,nan,0.0,0,0
1977-11-12T11:32:09.300000+00:00,7d,5.0,post_mainshock,5.45,1977-10-13T11:32:09.300000+00:00,30,56,nan,0.0,1,1
1977-11-14T21:02:29.300000+00:00,7d,5.0,post_mainshock,5.28,1977-11-13T21:02:29.300000+00:00,1,57,nan,0.0,0,0
1977-11-20T21:02:29.300000+00:00,7d,5.0,post_mainshock,5.28,1977-11-13T21:02:29.300000+00:00,7,57,nan,0.0,0,0
1977-12-13T21:02:29.300000+00:00,7d,5.0,post_mainshock,5.28,1977-11-13T21:02:29.300000+00:00,30,58,nan,0.0,0,0
1977-12-22T12:46:23+00:00,7d,5.0,post_mainshock,5.025,1977-12-21T12:46:23+00:00,1,59,nan,0.0,1,1
1977-12-28T12:46:23+00:00,7d,5.0,post_mainshock,5.025,1977-12-21T12:46:23+00:00,7,60,nan,0.0,0,0
1978-01-20T12:46:23+00:00,7d,5.0,post_mainshock,5.025,1977-12-21T12:46:23+00:00,30,61,nan,0.0,0,0
1977-12-24T21:00:25.800000+00:00,7d,5.0,post_mainshock,5.365,1977-12-23T21:00:25.800000+00:00,1,60,nan,0.0,0,0
1977-12-30T21:00:25.800000+00:00,7d,5.0,post_mainshock,5.365,1977-12-23T21:00:25.800000+00:00,7,60,nan,0.0,0,0
1978-01-22T21:00:25.800000+00:00,7d,5.0,post_mainshock,5.365,1977-12-23T21:00:25.800000+00:00,30,61,nan,0.0,0,0
1978-01-09T06:32:58.700000+00:00,7d,5.0,post_mainshock,5.365,1978-01-08T06:32:58.700000+00:00,1,61,nan,0.0,0,0
1978-01-15T06:32:58.700000+00:00,7d,5.0,post_mainshock,5.365,1978-01-08T06:32:58.700000+00:00,7,61,nan,0.0,0,0
1978-02-07T06:32:58.700000+00:00,7d,5.0,post_mainshock,5.365,1978-01-08T06:32:58.700000+00:00,30,62,nan,0.0,1,2
1978-02-04T23:46:43.900000+00:00,7d,5.0,post_mainshock,5.365,1978-02-03T23:46:43.900000+00:00,1,62,nan,0.0,1,2
1978-02-10T23:46:43.900000+00:00,7d,5.0,post_mainshock,5.365,1978-02-03T23:46:43.900000+00:00,7,63,nan,0.0,1,1
1978-03-05T23:46:43.900000+00:00,7d,5.0,post_mainshock,5.365,1978-02-03T23:46:43.900000+00:00,30,66,nan,0.0,0,0
1978-02-10T05:36:02.600000+00:00,7d,5.0,post_mainshock,5.195,1978-02-09T05:36:02.600000+00:00,1,63,nan,0.0,1,1
1978-02-16T05:36:02.600000+00:00,7d,5.0,post_mainshock,5.195,1978-02-09T05:36:02.600000+00:00,7,64,nan,0.0,1,1
1978-03-11T05:36:02.600000+00:00,7d,5.0,post_mainshock,5.195,1978-02-09T05:36:02.600000+00:00,30,66,nan,0.0,0,0
1978-02-12T14:45:45.600000+00:00,7d,5.0,post_mainshock,5.11,1978-02-11T14:45:45.600000+00:00,1,64,nan,0.0,0,0
1978-02-18T14:45:45.600000+00:00,7d,5.0,post_mainshock,5.11,1978-02-11T14:45:45.600000+00:00,7,64,nan,0.0,1,2
1978-03-13T14:45:45.600000+00:00,7d,5.0,post_mainshock,5.11,1978-02-11T14:45:45.600000+00:00,30,66,nan,0.0,0,0
1978-02-23T09:07:30.200000+00:00,7d,5.0,post_mainshock,5.28,1978-02-22T09:07:30.200000+00:00,1,65,nan,0.0,1,1
1978-03-01T09:07:30.200000+00:00,7d,5.0,post_mainshock,5.28,1978-02-22T09:07:30.200000+00:00,7,66,nan,0.0,0,0
1978-03-24T09:07:30.200000+00:00,7d,5.0,post_mainshock,5.28,1978-02-22T09:07:30.200000+00:00,30,67,nan,0.0,1,1
1978-02-24T23:18:33.200000+00:00,7d,5.0,post_mainshock,5.365,1978-02-23T23:18:33.200000+00:00,1,66,nan,0.0,0,0
1978-03-02T23:18:33.200000+00:00,7d,5.0,post_mainshock,5.365,1978-02-23T23:18:33.200000+00:00,7,66,nan,0.0,0,0
1978-03-25T23:18:33.200000+00:00,7d,5.0,post_mainshock,5.365,1978-02-23T23:18:33.200000+00:00,30,67,nan,0.0,1,1
1978-03-29T12:37:40+00:00,7d,5.0,post_mainshock,5.11,1978-03-28T12:37:40+00:00,1,69,nan,0.0,0,0
1978-04-04T12:37:40+00:00,7d,5.0,post_mainshock,5.11,1978-03-28T12:37:40+00:00,7,70,nan,0.0,0,0
1978-04-27T12:37:40+00:00,7d,5.0,post_mainshock,5.11,1978-03-28T12:37:40+00:00,30,74,nan,0.0,0,0
1978-04-20T17:01:45.500000+00:00,7d,5.0,post_mainshock,5.195,1978-04-19T17:01:45.500000+00:00,1,73,nan,0.0,0,0
1978-04-26T17:01:45.500000+00:00,7d,5.0,post_mainshock,5.195,1978-04-19T17:01:45.500000+00:00,7,73,nan,0.0,0,0
1978-05-19T17:01:45.500000+00:00,7d,5.0,post_mainshock,5.195,1978-04-19T17:01:45.500000+00:00,30,74,nan,0.0,0,0
1978-07-24T10:17:18.900000+00:00,7d,5.0,post_mainshock,5.025,1978-07-23T10:17:18.900000+00:00,1,77,nan,0.0,0,0
1978-07-30T10:17:18.900000+00:00,7d,5.0,post_mainshock,5.025,1978-07-23T10:17:18.900000+00:00,7,77,nan,0.0,0,0
