bin,config,mean_pred,model,n,obs_freq,origin
0.29-0.43,M5.0_30d,,v1,0,,2021
0.43-0.57,M5.0_30d,,v1,0,,2021
0.57-0.71,M5.0_30d,,v1,0,,2021
0.71-0.86,M5.0_30d,,v1,0,,2021
0.86-1.00,M5.0_30d,,v1,0,,2021
0.00-0.14,M5.0_30d,0.0135,v2,64,0.0156,2022
0.14-0.29,M5.0_30d,,v2,0,,2022
0.29-0.43,M5.0_30d,,v2,0,,2022
0.43-0.57,M5.0_30d,,v2,0,,2022
0.57-0.71,M5.0_30d,,v2,0,,2022
0.71-0.86,M5.0_30d,,v2,0,,2022
0.86-1.00,M5.0_30d,,v2,0,,2022
0.00-0.14,M5.0_30d,0.0134,v1,64,0.0156,2022
0.14-0.29,M5.0_30d,,v1,0,,2022
0.29-0.43,M5.0_30d,,v1,0,,2022
0.43-0.57,M5.0_30d,,v1,0,,2022
0.57-0.71,M5.0_30d,,v1,0,,2022
0.71-0.86,M5.0_30d,,v1,0,,2022
0.86-1.00,M5.0_30d,,v1,0,,2022
0.00-0.14,M5.0_30d,0.0133,v2,64,0.0156,2023
0.14-0.29,M5.0_30d,,v2,0,,2023
0.29-0.43,M5.0_30d,,v2,0,,2023
0.43-0.57,M5.0_30d,,v2,0,,2023
0.57-0.71,M5.0_30d,,v2,0,,2023
0.71-0.86,M5.0_30d,,v2,0,,2023
0.86-1.00,M5.0_30d,,v2,0,,2023
0.00-0.14,M5.0_30d,0.0132,v1,64,0.0156,2023
0.14-0.29,M5.0_30d,,v1,0,,2023
0.29-0.43,M5.0_30d,,v1,0,,2023
0.43-0.57,M5.0_30d,,v1,0,,2023
0.57-0.71,M5.0_30d,,v1,0,,2023
0.71-0.86,M5.0_30d,,v1,0,,2023
0.86-1.00,M5.0_30d,,v1,0,,2023
